Comment,Comment_Title,Date,User Rating,User_Account_Link,Username
"THIS IS A QUALITY BUILT ITEM, HOWEVER, WAS DISAPPOINTED THAT IT DOES NOT EXPAND IN LENGHT AS OTHER COMPARABLE HOSES.","DOES NOT EXPAND LENGTH , ONLY GIRTH","June 23, 2019",3.0,/gp/profile/amzn1.account.AGR6AK7W7CT247SZRBWGE4ZJMKCQ,Dennis
Nope,Don't waste your time,"June 20, 2019",1.0,/gp/profile/amzn1.account.AGSSFD325NERJRITTVQLUGZZAUUA,Ambrocio Antonio
"I've always had trouble being on time, staying organized, building habits, etc. Stuff just crept up on me all the time, and I felt like I was constantly playing catch up.This book has changed my life. It took a few  tries before I was really able to adopt it completely, but when I did, it was like night and day. This methodology touches on every aspect of life, from the big pie-in-the-sky hairbrained ideas all the way down to remembering to buy catfood on your way home from work.You can use anything you want to implement this; all you need is a calendar, a way to make lists, and a little bit of storage space. I swear, you will not regret it.",Changed my life,"June 19, 2019",5.0,/gp/profile/amzn1.account.AFQM56S3YIMF5CRIMOOLUZGGE7VQ,Mitchell
I like the shirt but will need to return it.  The print on the front was off center and crooked.  The Barstool Logo on the back was also off center.,Print is Off Center,"June 18, 2019",1.0,/gp/profile/amzn1.account.AEXH55N5TAYAGCZBKJBNFVZHE3XA,Andre Behrmann
"Easy to implement, highly effective. I was recommended this system by my supervisor, and it has really paid off. A joy.",Terrific system for anyone,"June 16, 2019",5.0,/gp/profile/amzn1.account.AEDJH7QBAQDACJA2UUYWQ7IN427A,Eric
"It can transform your life and mind and push your creativity up through the roof, it also allow you to understand your surroundings and the tasks of the world we live in in general","THE book for personal management, amazing","June 10, 2019",5.0,/gp/profile/amzn1.account.AG3LN4AEDANY4IXDMCRNRFAUXRKA,Mohanned Mohammed
Well Made !,Great Golf Towel,"June 10, 2019",5.0,/gp/profile/amzn1.account.AFZ2P45VQQ5VBZHPRMR6G6O4BXQQ,John Montgomery
"The hose I received does not recoil as much as I had thought.  The weight of the hose is wonderful.  I can't handle those heavy hoses.  So far, no leaking or holes in the outer casing.  I am very pleased with my purchase.  I will recommend this product to my friends.",Very good product,"June 9, 2019",4.0,/gp/profile/amzn1.account.AGVIATHQBHF7JQYBDZYYJRHK6AKQ,Kindle Customer
Bought 50ft first and used for 4 days.  Like design concept....appears more rugged than the others that I have bought in past years (from other sources).....and fittings are a plus,Appears to be strong Improvement on other collapsible hoses,"June 6, 2019",5.0,/gp/profile/amzn1.account.AEHWBNGYBUVBEU54PNQ6BY5FUJJQ,rick
Discharge hole is too small,No volume of water,"June 4, 2019",3.0,/gp/profile/amzn1.account.AFEG2LT6KNBFGIO5DFWICCKYNEUQ,joe carroll
Love the handle and the options on the nozzle. Sturdy design. I'm happy with my purchase and so are my plants.,Great product,"June 4, 2019",5.0,/gp/profile/amzn1.account.AGGG4XGCDSEK7RIC5RUYTRZ7C3XQ,allison kerr
When you spray the hose it pulls you back toward the spigot. It’s like a work out. It is constantly pulling you backwards preventing you from ever reaching 25 feet. You can feel the inner tube pulling or stretching. This hose will wear you out.,Pulls you backward,"June 2, 2019",1.0,/gp/profile/amzn1.account.AG474IWL7FRPVNCJZOPDJWMWCRKA,Lgould
"It took him way to long to make his main points...the stuff that helps you get things done.  But his techniques are effective and he provides an excellent context to deeper understanding of how to be more productive, in less time so you can have more free/relaxing time.  He's super smart and an expert in his field.His work seems more geared for the busy exec. or stressed- out soccer mom who  can't relax,is Prozac, then dies on the golf course because he/she can't relax. T his book is not really for a layman like me who punches a clock.  Still , I def  recommend his book. You will learn a lot. Plus, It's completely updated for the digital age. He did a wonderful job with that.",I Like David+Def Respect Him But....,"May 29, 2019",4.0,/gp/profile/amzn1.account.AEJK2M4EFC5K23GFJPS4XWAUBX3Q,David Stein
It is helping to improve my way of working. Still a long road to get there.,Awesome,"May 26, 2019",5.0,/gp/profile/amzn1.account.AHB2STJ2UZS3HSUM2KLXPLL6CJOA,Leonardo Muñoz Guedes
Quite an exhausting read. Business and self improvement books should be to the point with a graphical or pictorial views to demonstrate how to implement and set up the system.,OK Good Needs  A 100 Page Edit,"May 24, 2019",3.0,/gp/profile/amzn1.account.AFDF666GA6CIWU6KKEFWMD3BT4AA,Kindle Customer
"I love it, my sister recommended it and it is great",Great all that they advertise,"May 24, 2019",5.0,/gp/profile/amzn1.account.AGY2HQPAIDRJT6YFWVYTG6VCEXMQ,Denise Levesque myers
"Love this shirt, and it came in just in time for the finale!!  Fits as expected, and great quality!",Love this shirt!,"May 22, 2019",5.0,/gp/profile/amzn1.account.AFMX7WYOJBK2QCNPCANC5LVSMRGA,Kelsey Cole
The hand sprayer has a solid feel to it and the water flow adjustment functions smoothly. Large number of spray patterns are a welcome feature. Time will tell how durable the product is in horse barn service.,Solid product,"May 22, 2019",5.0,/gp/profile/amzn1.account.AF3WVI3CTADVSA5SFV2URWJL5IJA,michel schneider
Product seemed well constructed and would have bought another but price increased over night so went with a competitor.,Was a good deal,"May 22, 2019",3.0,/gp/profile/amzn1.account.AGOVDIUPKHQNFYTEI53CDYWAH5JA,Frank Dixon
The metal ends of the hose ensure a longer lasting hose. High quality. Good product.,Good quality,"May 20, 2019",5.0,/gp/profile/amzn1.account.AGVMD7EMRNO4VDGHWAM372MGAXIA,J. Graham
"Expandable hose does exactly that, is kink free and very durable.",Excellant Hose.,"May 17, 2019",5.0,/gp/profile/amzn1.account.AE3H4TBETD3SZLOTJR6R7AFS5Y5A,H. Char
I like the tips and the way it is written. Will put in practice and review again later in the year.,Great tips,"May 16, 2019",4.0,/gp/profile/amzn1.account.AEXWD53XLBJPNQISUO7L7NV3U5FA,Fabricio
Product is holding up well.,Good Hose,"May 15, 2019",5.0,/gp/profile/amzn1.account.AGSNPVZMBCRJOVPLFEAVJQ3FLLCQ,James Holtyn
"I really wanted to replace my single use coffee maker.  I did not expect to love this so much but I do, the tastes of the coffee was so good I will never use any other coffee maker.",Perfect,"May 14, 2019",5.0,/gp/profile/amzn1.account.AFBKBO4B5USD52B4DCG3CUFJV3OQ,Melody Goodnight
"This is a new purchase for me but I've had other expandable hoses before. This particular one seems well constructed and when in its shrunken state, is not as bulky as others. So far...so good!",Perfect Garden Hose,"May 11, 2019",5.0,/gp/profile/amzn1.account.AHSV5W5JXQWOSE6445LM4UMV5U3Q,bev
Excellent value/price! I love it! Its big enough to make huge cups of coffee or more than one smaller 8 oz. Cup. I use 3 filter screens since I use finely ground. Highly recommend!,I love my puravida coffee press!,"May 11, 2019",5.0,/gp/profile/amzn1.account.AG37LJAHMAURUACIRWJWAJL6D3QA,Cindy C.
"Hise is not even close to the length stated on the package. Also, it restricts flow volume too much and stops if you step on it.",Poor,"May 10, 2019",1.0,/gp/profile/amzn1.account.AGDSBBGG3XEVXGKL6SMWRCFSYBUQ,Amazon Customer
It works great,great,"May 10, 2019",5.0,/gp/profile/amzn1.account.AFR22GSHXTGRVQT2K4YO752MD6RA,Willie Rosa
"I replaced all of my garden hoses with these new lightweight once, the other garden hoses were too heavy and unwieldy for me the older I get. These make light work of watering all of my potted plants Etc, and take up a fraction of the room that my previous garden hoses did. They're so light weight and easy to use it has made my life easier. Works great for me.",Take the time to read the directions.,"May 9, 2019",5.0,/gp/profile/amzn1.account.AFI6FIQA5US4RRSPIAWGV3TYQ4HQ,Tabascoqueen
Bought it for my nephew who is a coffee snob!! Great purchase!,Great purchase!,"May 9, 2019",5.0,/gp/profile/amzn1.account.AHW3ECKQLSUCMBWTY2OYHXLVBVSQ,Janet Watts
This hose really functions as it's designed to.  Expands to a full 25' when in use and then shrinks back to  7 or 8 feet when the water is turned off.  Very handy if you hate to coil or re-wind a hose.  Have had mine about a month and it continues to amaze.  (Do not use my name),Great hose!,"May 6, 2019",5.0,/gp/profile/amzn1.account.AHJHRRYFXENSWTE43GW7UDCPG67Q,Eva
Item was just as described. I followed the directions on first use.....works great!,This hose doesnt tangle!,"May 4, 2019",5.0,/gp/profile/amzn1.account.AHW52F2TLET4GZQ3XUKQ2UZ3LHNQ,glt granny
Well made hose. The brass fittings  with an on off valve are top notch,Well made!,"May 3, 2019",5.0,/gp/profile/amzn1.account.AGYLBYSDWFOUVFNWFRI3OAC4JX7Q,Levi R Garcia
"spray nozzle seems well built, time will tell",nice spray nozzle,"May 3, 2019",5.0,/gp/profile/amzn1.account.AFHIQZISZZUE7XON65GF6SVGOL4A,JJ
Watering plants out front is a breeze. No kinks and so simple to put away.  I bought this hose so I wouldn’t have to fight my regular green garden hose.,Easy use. Easy put away,"May 2, 2019",5.0,/gp/profile/amzn1.account.AGPTSOI3GXCW3ZBPNKTE7VOE5BTA,LisaD
"This water nozzle is very well made, easy to use and came at an excellent price.  I do not hesitate to recommend.",Excellent Purchase!,"May 2, 2019",5.0,/gp/profile/amzn1.account.AGPYIUHESCRKFPKW7WJ3MXZISZMA,AJMwmere
"Sick & tired of slugging out my ‘quality’ heavy, reinforced rubber hose, with its water stopping kinks and binds; not to mention FIGHTING to unreel and reel - just to quickspray my flower garden or knock the pollen from my vehicles! Ordered two 50’ INNAV8 hoses, (which are hassle FREE) for my home. I am impressed with the quality brass fittings and the secure shut-off valves. I just placed a duplicate order for my cabin, and I’ll store them in a plastic shoebox under the step!",Easy to Tote.  Easy to Use.  Easy to Store!,"April 30, 2019",5.0,/gp/profile/amzn1.account.AHXRCRBTVTQVBB3QMF5I7YNPONIA,The Professor
"A lot of people are complaining about how redundant this edition is (I haven't read the past one). While I agree with them, I also encourage you to push through it and put the book down when you feel that get to you.At first I was reading this and thinking ""aw man, this is kinda dry and it's going to take me forever to finish"" but kept going because I really needed some sort of methodology to help me organize my thoughts and how I could find a better balance in life between work and my hobbies / social life.By reading the book slower, the concepts that are repeated will be easier to remember. Also a few pages in I was afraid this book was going to be only for cooperate minded slaves but David Allen throws in a few spiritual gems. You will understand that his methodology is sturdy and defined but also light weight and not robotic. It can be used as a great tool in many situations.Whether you are trying to build your career and become a better leader, or trying to clean up some stress creating habits in your personal life, or need a system to help you deal with some of the unique challenges of being self-employed this is a great book.",I recommend this book,"April 30, 2019",5.0,/gp/profile/amzn1.account.AFKMSS2LGVM5CZAK5OJYWKFOH5QA,Peter
"The nozzle arrived on time and was just as described when I ordered it. It works great without leakage, easy to use and of good quality.",Hose nozzle.,"April 30, 2019",5.0,/gp/profile/amzn1.account.AESTW7ETL4QJD27UK5IXTOHSWP4Q,tom mcnary
"I also bought the Audible audio book.  And the author who reads it had a better voice than I expected!  But even though I only tried a few things so far, it already helped me get a little better organized.  So I highly recommend it!","It sounds like it will work great, if you do most of it.","April 29, 2019",5.0,/gp/profile/amzn1.account.AHHO6PYBBKHCSRNOANIXSHB4IYFQ,A1 Computer Consulting
The font size is so small that it is hard to read - even with 20/20 vision. Will return it for -hopefully- an electronic version.,Font size!?,"April 28, 2019",2.0,/gp/profile/amzn1.account.AFO6GBTD4O4DTRLYR6JVF7PB3MXQ,M. Hamacher
Book was in perfect condition!,Perfect condition,"April 28, 2019",5.0,/gp/profile/amzn1.account.AHGUKCK3JRM742QMZCJ6NNHNE3FQ,Mary
Looks like a pocket hose but after using it you can tell instantly that the quality is much better. The ends are heavy brass and unlike a pocket hose it actually retracts when you drain it. .,Better Than A Pocket Hose,"April 27, 2019",5.0,/gp/profile/amzn1.account.AEMOWWADYJU2Q4UELFIESN735F4A,PeterA. S.
",good value",Good value,"April 26, 2019",5.0,/gp/profile/amzn1.account.AE5QLUVEQMUOT7NE7QUG2WLNWC4Q,EPG
Very nice product and very quick delivery.,Fast fast fast!,"April 26, 2019",5.0,/gp/profile/amzn1.account.AH35I2FTVBKUHPTJA63DFDQWA5IA,D. Watt
This is amazing! I'm loving it!,Great deal,"April 25, 2019",5.0,/gp/profile/amzn1.account.AFJMH3LWS4MWEGFNLGWLYIUX2RDQ,Amazon Customer
The nozzle is well made. Really like the arm that easily adjusts the flow. Highly recommend.,Works great!,"April 25, 2019",5.0,/gp/profile/amzn1.account.AF6YDLPPQUPFR4ALDT7KXVSZGB4A,Big Shelton
"Great quality, and factually correct.",SATURDAYS ARE FOR THE BOYS,"April 24, 2019",5.0,/gp/profile/amzn1.account.AGFPZN32DDDYIL5QQKYKXDPYBZTA,Dunkle05
"It’s a Saturday night, beers are cold, boys are thirsty, I’m sitting there with 5 of my closest friends, bonfire blazin’ and I tell them about my most recent purchase. They calmly ask what it is and I explain it’s a flag. Of course they exclaim that I’m “gay for that” but then I whip that bad boy out and it’s a Saturday is for the boys flag. Their jaws drop to the floor. One of my friends says “is that the barstool sports edition????” I tell him that it is and he instantly gets a raging hard on. Amazon knew I just took a picture with this flag and asked me how I would rate my purchase and I would say if you want to drop as many panties as you can imagine, buy this damn flag.",10/10 best damn flag,"April 20, 2019",5.0,/gp/profile/amzn1.account.AGHVO3UWXVVJAYNSKN5TJBWWPUNA,Noah brooks
I have this book scheduled in my calendar to relisten every few months so that I don't let go of the lessons or let myself get boggled down in life. I'm a project manager and this was eye opening. It's simple and easy to implement.,Game Changing,"April 18, 2019",5.0,/gp/profile/amzn1.account.AGCXBXOG7RNL4XPVISB2OJV45PSA,Diad
I RECIEVED THE HOSE LOOKS GOOD BUT STILL WINTER IN SYRACUSE!!Will probably use by mid to late May check back then  The Nelsons,UNSURE AT THIS TIME,"April 13, 2019",4.0,/gp/profile/amzn1.account.AFHH3IHP2VVCIU2FCGPHEBSK64AQ,marie nelson
"I have been listening to the Audible version of this after my brother gifted me the paperback. It’s filled with real-life, very practical, step-by-step direction on “getting things done” and getting organized. Something I definitely need to do in my life! Looking forward to implementing his recommendations.",HIGHLY RECOMMEND,"April 13, 2019",5.0,/gp/profile/amzn1.account.AGW37TS7VI3FHQ7G6IAXUF4MWH5Q,Justine Brashear 
I've had it one week and so far it works great. Solid metal fittings on both ends. No leaking. Expands and contracts perfectly.,Works well,"April 9, 2019",5.0,/gp/profile/amzn1.account.AFRV4O3YQLGW776XJG74AYDJWXZA,Ken
"Hose works as described, using it as an extra hose for patio plants","So far, so good","April 8, 2019",5.0,/gp/profile/amzn1.account.AGEE2F5GKN4U5R7RGAHDTI5ZCOWA,James
The water hose is excellent!! I really good purchase.  A great price!!,Super product..,"April 8, 2019",5.0,/gp/profile/amzn1.account.AG46P5UCD3SY6DNGJPGCKOWGEPXA,Reginald D. Hall
I liked how the Author tied getting things done to our priorities.,Keeping my priorities straight.,"April 7, 2019",4.0,/gp/profile/amzn1.account.AHBJNYG53TRP6JRN2FKRU3AIPBSA,Melinie Williams
works great,Great product,"April 5, 2019",5.0,/gp/profile/amzn1.account.AFC3HIV3YMC4AYZJC4PG7OKCPJSA,Amazon Customer
It works great.  Very convenient.,"Very well made --metal, not plastic parts.","April 4, 2019",1.0,/gp/profile/amzn1.account.AEBLJTHK2BHI34RCPZO4B47576GQ,Kathy Statt
"Very well built, sturdy, and can hardly wait to see how it works!",All metal construction,"April 3, 2019",5.0,/gp/profile/amzn1.account.AHRKUDODGPMNQRYIKGCAA6NMUCHQ,justme
Love my new hose. I use it on a balcony 4 floors up so the 25 foot hose is perfect and storing it in a little bucket is also perfect.,So easy to use,"April 1, 2019",5.0,/gp/profile/amzn1.account.AHHVYPFU7RC2E6NZ6JWJU3YNVFUQ,Susan L
So far old.  Hope this one doesn’t fall apart.  Looks very sturdy.,Well built,"April 1, 2019",5.0,/gp/profile/amzn1.account.AELXXU3YRBYO3EILTD3V4J3RMODQ,Steve Boyd
"Excellent read, I would recommend this to anyway, whether or not you are in business.",Getting Things Done,"March 30, 2019",5.0,/gp/profile/amzn1.account.AHSVGO7UDE3V7OWQVXB2IZR7HMAQ,Anne S.
I bought this because it was recommended by my new boss.  The first few pages were interesting but nothing new here.  Tips are useful but some of them are just not realistic.  You have to be very left brain to keep your life so completely organized as suggested in this book.,Another organization book.,"March 29, 2019",3.0,/gp/profile/amzn1.account.AHC5DLA26DW24ILC4KM6VKZH4UNA,M. Aguilar
"We ordered this after having inadvertently dropped and broken our previous whipped cream maker.  Much to our delight, this one was sturdier and more efficient than our previous one.  Also, it has 3 different shapes that allow the cream to dispense in different patterns from more narrow to wider. We are very pleased.",Just what we wanted,"March 29, 2019",5.0,/gp/profile/amzn1.account.AGXESIC7ZBYMUIESDGQAIKGVH7MQ,Country Retiree
I have used this hose one time an it seems to be a very good an strong hose. I am very satisfied.,exspandable hose,"March 24, 2019",5.0,/gp/profile/amzn1.account.AG35OOGP7XBRN7IJMCK5DU57ZUYA,Cissy houston
Getting Things Done has undoubtedly made me more productive.  I find myself constantly referring back to the book to strengthen my process of getting things done.,"Excellent system, mental model and techniques","March 23, 2019",5.0,/gp/profile/amzn1.account.AHGROH6DKCSIF25TOLLV2CD2V4ZQ,John
"I'm new to having my own business, and to that end, I've found time management a real problem.  There's no one else to tell me what I need to be doing at any given moment.  With that in mind, I've been looking for ways to, well...get things done.  This book is great.  Get the kindle version and the audible version, so you can go back and highlight, book mark and make notes on what you read.  The audible version is great because, well, I drive a lot.","life changing...no really, it is.","March 22, 2019",5.0,/gp/profile/amzn1.account.AFFXIXPE3VBMZJAAREVE7ACZPUHA,C. Janney
"There's enough testimonials that I don't need to explain how revolutionary this book was.  Let's just say I went from being totally disorganized in every facet of my life to being a David Allen evangelist. Some of the rambling in the beginning of the book, and particularly the supporting cognitive science data in the last third was not totally necessary for understanding the system.  The middle third, however, is gold.  For that alone, the book is worth five stars.",This book has changed my life,"March 21, 2019",5.0,/gp/profile/amzn1.account.AF3ELRHXRNM5RVFRF6G4FPTYHJWQ,Archibold
"I couldn't even read his book, worst writing style ever..",Worst book ever..,"March 17, 2019",1.0,/gp/profile/amzn1.account.AHXNPEBTRXTCVECA4CRNBHJQWG5Q,Samer
I bought this book thinking it will motivate me to get things done in my life and had great reviews. I didn’t motivate me. I think this book is too long and could have been condensed into half. The reason for two stars is that this book taught me two things: to organize my work space (less clutter)and I should just do the task on hand if it takes less than 2 minutes.,Just do the task if it will take less than 2 minutes,"March 15, 2019",2.0,/gp/profile/amzn1.account.AEJVCA3EP4BE2HM3MRIV4NWVD5VQ,J. Singh
"This book is more profound than Marx's ""Capital"".  My ex-boss, co-founder of 50M+ startup once verbalized his reason to deny employment of otherwise perfect candidate. In short, he meant the following: ""She is not scared"". I personally had more than 1000+ phone interviews during my career and learned it the hard way: if you are not scared for your life each and every day at work, even if you faked the fear at the interview - you'll lose your job very quick.The landscape changed way too quick for everybody during the last about 50-75 years, making us ""knowledge workers"". Capitalists, aristocrats and their kids, though didn't tell it to us, leaving most of the people unaware of the new way(s) they exploit everybody. NOT being scared to lose your job our days is rather exception that won't even get you hired. Ever.I don't want to spoil the book, but consider the following example from my personal experience. I told my boss once: I want to keep working part-time for you, like 20 hours a week instead of 40, and you pay me half my salary. He agreed, doing me a ""favor"". About 6 month later I realized that I still working 80+ hours for him for half the money. There is no way most of us can stop working leaving the office. I wanted to do ""my own projects"" for the other half of the time, but I couldn't. It's plain impossible. I dare you to try it, if you are in denial.The author claims that ""it's possible"" not to be scared. He teaches you how. This is a very quiet revolution, but this mentality is much more dangerous than what Marx, Gandhi, Kennedy, ML King did all together. This book is a revolution manifesto. Surprisingly, the author is still alive and nobody wants to kill him.",Very dangerous mentality,"March 11, 2019",5.0,/gp/profile/amzn1.account.AGEBI2LDQMFAQWCCJKGGQDXAZ7YA,Nikita
"good as expected, nothing special","good as expected, nothing special","March 11, 2019",3.0,/gp/profile/amzn1.account.AH3JGPVXEK53TVQHWBJIGPUBA5TQ,Petr
"I’m still working through it, but applying Allen’s methods is already adding a paradigm shifting stability to the administrative dynamics to my ministry. Pastoral ministry takes a lot of space for studious depth and relational presence. Im finding that Allen’s methods help provide the stability that allowes for that needed mental and emotional space.It’s not easy to apply, but it’s proving worth it so far.",Changed the way I do ministry.,"March 9, 2019",5.0,/gp/profile/amzn1.account.AEGIHU2NJGNUPDHFNCII6SBKIWQQ,Josh Cushing
"I had one of these for 2 years until the shut off valve broke.  I looked everywhere for a replacement, but since it is an odd size, I could not replace it.  I looked to reorder this 25' size, but it was not in stock.  Finally, it returned and I reordered.  I use this in my barn to water in a stall that is near the faucet.  I like that I can easily move it around and store it when I'm not using it.  The brass fittings also seem sturdy.  It is used and kept in the barn, not used outdoors, so I don't know if that would make a difference on how good or long it would hold up.  I have other, longer expandable hoses that I use outdoors in the garden, and they only seem to last one to one and  a half years.  I hope they continue to carry this size and it would be great if they would carry replacement valves.",Perfect size,"March 8, 2019",5.0,/gp/profile/amzn1.account.AGJLYPVGFFOI6NZPC2WMAZB26AYA,Mrs. P.
mastering the task of life,The book I read over an over,"March 6, 2019",5.0,/gp/profile/amzn1.account.AFLZ3CJLBVVZI24L63WHEOXQ32VQ,JC Pomodoro
This is one of my favorite organization tools.,Favorite,"March 4, 2019",5.0,/gp/profile/amzn1.account.AGDRPLNS47QGXNKBZWVETDZ6A5RA,TeamHuck
"But well worth the effort if you do, and worth a great deal even if you don't to all of it.  But as a machine, it's worth the small effort in the long run to do it.  Been doing it for about two years. Started with the old addition. Been a great help in my learning to trade equities, keep up my HVAC Technical skills, and even get my latest and last house rehabbed. And I hate working on houses.",Not easy to get the whole system moving,"March 4, 2019",5.0,/gp/profile/amzn1.account.AELG5JJ4ECYX6UJEVQTHX7MHZ6CA,No Pen Name  Wanted
Terrible book... made to read it for a class. Common sense stuff.,"Oh, no ....","March 2, 2019",2.0,/gp/profile/amzn1.account.AE4HS6CKMQ6C2GSH3STGM3KRY6CQ,Kbull
I bought this pack for hiking but it’s saying it’s a,Your wrong,"February 24, 2019",1.0,/gp/profile/amzn1.account.AHDEKLZR5YBMQR33OSJHGLMVHF7A,Jason cooper
"I read this book about 10 years ago and it had a profound impact on my personal productivity. I reacently realized that my team needed help on the subject so we started reading & reviewing two chapters per week together. Everyone has implemented it in different ways, but productivity, transparency, and I’d say satisfaction has increased drastically. Also, re-reading and re-applying in new ways to my reality today has had the same magnitude of impact for me as it did 10 years ago.I strongly recommend DOING the book as you read rather than reading it purely to understand in theory. I’ve done both and helped others that have done both. In doing, you’ll find there isn’t a perfect system or implementation to figure out before you ‘really’ do it. Rather, you need to do it and continue tweaking for at least a few weeks to find how to apply which principles to your needs, personality, and habits.If you do, you’ll find that you almost always know what you need to, want to, can, and should be doing at any time and place. With that empowerment, you will do much more of it and feel better about both what you accomplish AND what you don’t.",Excellent to read as a team. Expect a change.,"February 23, 2019",5.0,/gp/profile/amzn1.account.AERMKJ65JR4H37BMI66CPA2U7CTQ,Carl A. Deen
Great book!!,Easy to apply the principles,"February 18, 2019",5.0,/gp/profile/amzn1.account.AHYPUCDKXR3SXDSCAQLF56AMHXAA,Lisa W
The package was open when it arrived and there was nothing inside.,Empty package was delivered,"February 18, 2019",1.0,/gp/profile/amzn1.account.AG3T2WNKF7C6SZVWBQEAKI5A76RA,Amazon Customer
"I liked the very detailed guide to start from scratch, collecting all your thoughts, pieces of paper and other information and putting it altogether in a system to control all around your life. As it is usual in this kind of books the author has to fill an entire book of something that essentially fits in very few pages, I think he could have shortened it considerably, it is especially noticeable in the Horizons Views part of which I don't totally get the point.",It is a step by step guide to organising your life,"February 17, 2019",4.0,/gp/profile/amzn1.account.AFGRSKNOLAKB343FIYWZNYBRT6FA,Juan Olmedilla Arregui
Saving the earth! Don’t buy bottled water when there’s awesome products like everything they sell!,Save the earth,"February 12, 2019",5.0,/gp/profile/amzn1.account.AFMEFUPPWAEHT5VOEPMGW6P2AKVA,kimberly
This is the best book I've ever read.  I read it when it came out in 2001-2002 and since I lost my book I ordered a new one.  It could be updated with technology things that have happened since 2001 (Like I had an old Motorola flip phone back then) it is still a GREAT system of organization.  You can find a lot of info online but there is nothing like reading about the original system from the original creator - David Allen.  I recommend this book to Everyone.,Are you organized??,"February 6, 2019",5.0,/gp/profile/amzn1.account.AHC7QQYTFHRVUITNWYFIHPKORPZA,egallagher2k
